"Date,""Close"",""Open"",""High"",""Low"",""Volume"",""Change in Percentage"""
"16/08/2021,""453,16"",""453,13"",""453,51"",""447,23"",""988,01M"",""0,18%"""
"13/08/2021,""452,34"",""451,48"",""453,68"",""449,32"",""876,21M"",""0,69%"""
"12/08/2021,""449,26"",""443,16"",""449,27"",""442,14"",""1,36B"",""1,64%"""
"10/08/2021,""442,02"",""443,82"",""444,84"",""437,88"",""1,01B"",""-0,04%"""
"09/08/2021,""442,18"",""448,92"",""449,46"",""439,67"",""979,76M"",""-1,54%"""
"06/08/2021,""449,10"",""456,59"",""457,31"",""448,33"",""980,15M"",""-1,10%"""
"05/08/2021,""454,08"",""450,73"",""456,27"",""449,79"",""1,49B"",""1,23%"""
"04/08/2021,""448,58"",""447,73"",""449,64"",""444,22"",""949,03M"",""0,55%"""
"03/08/2021,""446,11"",""443,26"",""447,99"",""442,50"",""1,15B"",""0,96%"""
"02/08/2021,""441,87"",""441,96"",""442,37"",""437,27"",""1,12B"",""0,84%"""
"30/07/2021,""438,19"",""446,16"",""447,54"",""438,19"",""1,64B"",""-1,28%"""
"29/07/2021,""443,87"",""445,66"",""446,25"",""443,39"",""1,21B"",""0,07%"""
"28/07/2021,""443,54"",""446,96"",""448,10"",""441,78"",""931,21M"",""-0,91%"""
"27/07/2021,""447,63"",""451,64"",""452,63"",""443,98"",""952,88M"",""-0,38%"""
"26/07/2021,""449,34"",""451,75"",""453,39"",""449,11"",""1,17B"",""-0,40%"""
"23/07/2021,""451,17"",""458,56"",""459,17"",""450,30"",""1,05B"",""-1,37%"""
"22/07/2021,""457,45"",""452,43"",""457,54"",""452,13"",""1,26B"",""1,88%"""
"21/07/2021,""449,00"",""449,64"",""452,24"",""448,07"",""1,15B"",""0,44%"""
"19/07/2021,""447,03"",""450,33"",""450,99"",""446,87"",""699,79M"",""-1,02%"""
"16/07/2021,""451,63"",""450,75"",""451,65"",""448,88"",""892,68M"",""0,70%"""
"15/07/2021,""448,51"",""442,76"",""448,61"",""441,95"",""938,54M"",""1,73%"""
"14/07/2021,""440,88"",""444,48"",""445,30"",""438,95"",""1,03B"",""-0,95%"""
"13/07/2021,""445,11"",""452,30"",""452,76"",""444,05"",""1,16B"",""-1,03%"""
"12/07/2021,""449,75"",""450,21"",""451,84"",""448,33"",""979,06M"",""0,50%"""
"09/07/2021,""447,52"",""447,36"",""448,85"",""445,97"",""1,00B"",""0,06%"""
"08/07/2021,""447,26"",""449,64"",""450,77"",""445,18"",""1,09B"",""-0,13%"""
"07/07/2021,""447,83"",""453,05"",""453,34"",""445,82"",""1,01B"",""-0,69%"""
"06/07/2021,""450,95"",""451,25"",""453,02"",""449,76"",""1,48B"",""0,35%"""
"05/07/2021,""449,38"",""454,27"",""454,88"",""447,58"",""899,55M"",""-1,05%"""
"02/07/2021,""454,17"",""454,25"",""456,52"",""452,38"",""929,03M"",""0,45%"""
"01/07/2021,""452,14"",""452,57"",""455,22"",""448,62"",""1,02B"",""0,40%"""
"30/06/2021,""450,35"",""448,14"",""453,22"",""448,13"",""1,30B"",""0,59%"""
"29/06/2021,""447,69"",""446,26"",""451,50"",""445,96"",""1,06B"",""0,53%"""
"28/06/2021,""445,33"",""454,09"",""455,31"",""445,33"",""1,10B"",""-2,12%"""
"25/06/2021,""454,96"",""457,70"",""459,22"",""454,96"",""957,12M"",""-0,14%"""
"24/06/2021,""455,60"",""460,52"",""460,77"",""455,45"",""841,46M"",""-0,60%"""
"23/06/2021,""458,35"",""464,56"",""466,29"",""458,35"",""1,01B"",""-0,98%"""
"22/06/2021,""462,88"",""459,61"",""466,63"",""457,94"",""1,23B"",""0,99%"""
"21/06/2021,""458,36"",""453,66"",""461,84"",""448,56"",""1,62B"",""-0,56%"""
"18/06/2021,""460,95"",""468,03"",""468,38"",""457,37"",""2,33B"",""-1,60%"""
"17/06/2021,""468,44"",""470,36"",""472,02"",""467,30"",""1,52B"",""-0,93%"""
"16/06/2021,""472,82"",""475,43"",""476,50"",""471,74"",""1,72B"",""-1,13%"""
"15/06/2021,""478,24"",""479,60"",""479,85"",""475,45"",""1,40B"",""-0,14%"""
"14/06/2021,""478,90"",""484,96"",""485,06"",""477,81"",""1,18B"",""-0,78%"""
"11/06/2021,""482,65"",""486,60"",""487,15"",""481,82"",""1,77B"",""-0,44%"""
"10/06/2021,""484,79"",""483,11"",""485,45"",""481,07"",""1,31B"",""0,72%"""
"09/06/2021,""481,30"",""474,34"",""481,36"",""473,91"",""1,19B"",""0,47%"""
"08/06/2021,""479,04"",""486,05"",""486,05"",""477,64"",""1,26B"",""-1,25%"""
"07/06/2021,""485,11"",""488,11"",""488,87"",""481,73"",""1,19B"",""-0,24%"""
"04/06/2021,""486,28"",""491,35"",""491,36"",""483,15"",""1,18B"",""-1,07%"""
"03/06/2021,""491,55"",""483,90"",""491,55"",""479,79"",""1,46B"",""1,75%"""
"02/06/2021,""483,08"",""482,45"",""483,70"",""479,08"",""2,16B"",""1,76%"""
"31/05/2021,""474,73"",""465,39"",""475,63"",""464,65"",""1,66B"",""2,65%"""
"28/05/2021,""462,49"",""465,75"",""467,15"",""462,31"",""1,33B"",""0,31%"""
"27/05/2021,""461,05"",""466,58"",""469,96"",""461,05"",""3,98B"",""-0,12%"""
"25/05/2021,""461,59"",""459,53"",""465,44"",""458,50"",""1,40B"",""0,77%"""
"24/05/2021,""458,07"",""460,70"",""461,54"",""457,29"",""969,97M"",""0,07%"""
