ds,yhat1
2021-06-04,6384.702
2021-06-05,6369.073
2021-06-06,6356.756
2021-06-07,6345.2812
2021-06-08,6346.0283
2021-06-09,6294.5005
2021-06-10,6352.0356
2021-06-11,6410.0723
2021-06-12,6317.0264
2021-06-13,6303.425
2021-06-14,6288.9287
2021-06-15,6284.704
2021-06-16,6325.329
2021-06-17,6261.855
2021-06-18,6221.4424
2021-06-19,6205.588
2021-06-20,6177.081
2021-06-21,6148.1504
2021-06-22,6130.8076
2021-06-23,6182.1274
2021-06-24,6098.704
2021-06-25,6078.4663
2021-06-26,6055.708
2021-06-27,6020.792
2021-06-28,5988.185
2021-06-29,5969.34
2021-06-30,5971.2217
2021-07-01,6027.9253
2021-07-02,6030.5938
2021-07-03,6074.649
2021-07-04,6075.3726
2021-07-05,6075.3955
2021-07-06,6086.028
2021-07-07,6057.463
2021-07-08,6053.808
2021-07-09,6018.9385
2021-07-10,6012.6123
2021-07-11,6034.218
2021-07-12,6056.183
2021-07-13,6090.541
2021-07-14,6016.595
2021-07-15,5973.0723
2021-07-16,6047.297
2021-07-17,6039.1416
2021-07-18,6014.7817
2021-07-19,5991.76
2021-07-20,5981.2925
2021-07-21,5992.1377
2021-07-22,5989.669
2021-07-23,6080.9
2021-07-24,6005.948
2021-07-25,5999.033
2021-07-26,5992.5835
2021-07-27,5998.196
2021-07-28,6008.363
2021-07-29,5990.5625
2021-07-30,6032.461
2021-07-31,5992.0645
2021-08-01,5994.8545
2021-08-02,5999.572
2021-08-03,6017.632
2021-08-04,6149.824
2021-08-05,6141.095
2021-08-06,6264.7188
2021-08-07,6188.6733
2021-08-08,6208.853
2021-08-09,6229.622
2021-08-10,6259.5205
2021-08-11,6338.751
2021-08-12,6341.864
2021-08-13,6350.2827
2021-08-14,6420.1694
2021-08-15,6425.0234
2021-08-16,6429.581
2021-08-17,6445.759
2021-08-18,6512.787
2021-08-19,6566.5977
2021-08-20,6572.628
2021-08-21,6574.7344
2021-08-22,6576.159
2021-08-23,6577.963
2021-08-24,6591.3623
2021-08-25,6610.022
2021-08-26,6608.086
2021-08-27,6586.8105
2021-08-28,6553.4146
2021-08-29,6560.7427
2021-08-30,6566.483
2021-08-31,6582.2603
2021-09-01,6573.918
2021-09-02,6569.24
2021-09-03,6545.9487
2021-09-04,6569.969
2021-09-05,6553.331
2021-09-06,6537.4893
2021-09-07,6534.163
2021-09-08,6531.5205
2021-09-09,6439.8223
2021-09-10,6514.082
2021-09-11,6474.4365
2021-09-12,6473.3696
2021-09-13,6472.1846
2021-09-14,6482.1626
2021-09-15,6475.763
2021-09-16,6430.4697
2021-09-17,6424.3164
2021-09-18,6422.346
2021-09-19,6421.8345
2021-09-20,6421.793
2021-09-21,6434.338
2021-09-22,6374.7314
2021-09-23,6401.336
2021-09-24,6412.48
2021-09-25,6409.9473
2021-09-26,6407.2715
2021-09-27,6407.882
2021-09-28,6423.1396
2021-09-29,6403.0146
2021-09-30,6444.5864
2021-10-01,6778.7236
2021-10-02,6641.2783
2021-10-03,6692.0586
2021-10-04,6742.577
2021-10-05,6804.0015
2021-10-06,6812.083
2021-10-07,6957.994
2021-10-08,6953.418
2021-10-09,7033.773
2021-10-10,7027.702
2021-10-11,7021.9053
2021-10-12,7027.786
2021-10-13,7078.476
2021-10-14,7201.491
2021-10-15,7343.793
2021-10-16,7283.841
